18,37,28,6,26,50,27,15,38,50
45,15,22,8,39,20,2,10,33,47
25,31,43,14,40,18,45,45,32,22
5,13,16,30,49,28,44,28,27,14
8,11,49,9,21,27,36,8,49,10
40,37,22,28,21,32,28,35,29,29
13,25,15,20,2,33,28,27,29,46
25,19,50,3,18,13,40,40,24,39
24,16,33,18,21,2,32,48,34,35
15,17,48,30,21,22,48,12,20,35
45,18,28,12,18,38,50,22,32,43
9,4,1,32,38,39,21,13,32,20
12,48,5,46,31,2,14,2,22,20
28,18,50,18,12,36,20,35,21,27
35,44,5,47,33,31,2,29,45,20
8,37,24,35,1,9,27,4,25,7
14,24,29,9,25,32,6,27,28,22
37,16,38,8,5,28,19,31,11,2
32,25,17,23,47,16,23,9,36,36
36,23,35,10,38,32,19,8,42,48
3,9,18,23,31,47,13,30,9,19
50,1,50,5,26,26,23,19,8,33
42,26,19,34,3,9,27,44,8,35
5,25,27,29,24,4,14,17,9,16
34,37,32,50,5,33,16,35,42,10
30,23,36,3,34,6,3,8,39,23
44,16,12,3,22,9,34,1,49,4
12,45,38,22,31,7,11,43,43,7
22,33,31,33,30,12,22,27,27,49
30,38,16,12,37,38,15,15,9,12
37,33,25,15,40,16,9,21,41,8
22,3,43,17,9,38,13,14,4,1
37,50,12,8,25,50,11,34,22,32
36,4,32,1,40,24,17,31,1,12
7,24,5,6,21,30,8,19,7,40
7,28,5,16,20,20,44,34,48,8
25,26,41,16,37,21,21,17,31,1
14,29,15,35,13,38,48,24,34,18
28,21,4,3,35,34,6,34,7,40
19,31,15,9,22,40,16,19,32,27
36,22,2,32,17,3,48,32,2,44
47,42,48,23,32,23,8,38,28,46
8,1,12,44,8,28,48,36,7,19
42,41,21,10,45,5,3,14,25,14
42,27,15,1,7,50,48,36,42,48
34,1,9,44,4,30,34,16,46,18
1,30,15,17,21,50,24,38,44,24
50,44,1,3,5,3,41,48,4,34
42,33,19,28,42,30,34,35,2,28
6,7,27,25,34,11,47,25,1,35
47,21,45,35,14,36,44,44,12,6
40,23,36,10,5,12,40,2,29,1
41,32,11,6,24,50,40,37,48,31
12,25,25,1,7,2,49,10,19,20
9,21,20,8,42,11,11,41,38,5
32,38,37,49,4,50,7,8,37,36
16,19,18,7,44,27,17,12,7,41
44,31,13,18,29,18,44,21,10,32
1,39,24,34,35,30,37,10,26,48
16,50,41,23,47,34,42,41,21,45
19,29,11,11,16,22,15,7,47,28
5,47,44,26,21,26,11,48,13,39
7,27,44,44,17,3,50,15,43,42
32,28,36,33,34,26,17,32,19,6
33,35,10,10,37,8,28,4,39,38
21,32,16,39,9,23,20,47,21,2
31,26,33,28,41,23,5,44,43,40
18,5,39,5,44,48,37,39,3,48
18,31,30,17,45,38,22,30,18,16
21,1,2,49,33,49,32,47,14,37
42,44,3,10,26,17,22,11,4,21
5,2,21,43,39,4,29,3,16,40
16,49,31,17,6,4,1,27,18,4
24,22,10,43,29,16,3,27,28,9
2,28,5,27,1,45,19,17,4,50
34,39,47,13,36,39,11,21,8,6
41,3,15,43,34,50,45,28,21,12
2,31,22,50,34,49,8,41,2,13
24,14,31,31,32,7,12,32,10,23
37,2,39,2,42,27,10,42,13,1
18,7,50,41,8,8,47,9,34,35
38,36,16,30,50,47,42,30,26,44
45,28,45,47,45,43,48,18,29,33
47,31,18,23,45,17,42,45,44,20
44,24,6,47,40,13,39,30,38,33
7,25,9,29,33,32,30,34,6,24
44,49,50,12,6,45,7,12,41,8
33,10,33,49,50,47,10,29,13,9
48,48,21,20,39,30,49,2,43,23
13,1,1,28,29,14,2,7,14,32
11,49,49,16,3,2,26,17,9,49
36,38,50,31,17,39,19,12,30,46
36,3,47,34,50,36,33,35,4,9
17,15,16,41,27,35,6,14,8,5
31,18,16,18,39,4,40,4,7,46
25,46,44,29,48,3,3,29,11,5
22,46,50,24,36,20,39,16,48,17
16,24,37,31,41,20,39,10,17,36
40,32,9,40,47,43,33,10,38,45
6,3,35,39,11,9,7,46,29,13
